"GeneratedTrace","DefinedTrace"
20.507990,20.508000
20.839300,20.839312
21.170620,21.170624
21.501930,21.501936
21.833240,21.833248
22.164560,22.164560
22.495870,22.495872
22.827190,22.827184
23.158500,23.158496
23.489810,23.489808
23.821130,23.821120
23.798890,23.798887
23.776660,23.776654
23.754430,23.754421
23.732190,23.732188
23.709960,23.709955
23.687730,23.687722
23.665490,23.665489
23.643260,23.643256
23.621020,23.621023
23.598790,23.598790
23.726550,23.726556
23.854320,23.854322
23.982090,23.982088
24.109850,24.109854
24.237620,24.237620
24.365380,24.365386
24.493150,24.493152
24.620910,24.620918
24.748680,24.748684
24.876450,24.876450
25.014490,25.014498
25.152540,25.152546
25.290590,25.290594
25.428640,25.428642
25.566690,25.566690
25.704730,25.704738
25.842780,25.842786
25.980830,25.980834
26.118880,26.118882
26.256930,26.256930
26.396790,26.396788
26.536640,26.536646
26.676500,26.676504
26.816360,26.816362
26.956220,26.956220
27.096080,27.096078
27.235940,27.235936
27.375790,27.375794
27.515650,27.515652
27.655510,27.655510
27.692910,27.692905
27.730300,27.730300
27.767700,27.767695
27.805090,27.805090
27.842490,27.842485
27.879880,27.879880
27.917280,27.917275
27.954670,27.954670
27.992070,27.992065
28.029460,28.029460
28.041710,28.041706
28.053960,28.053952
28.066200,28.066198
28.078450,28.078444
28.090690,28.090690
28.102940,28.102936
28.115180,28.115182
28.127430,28.127428
28.139670,28.139674
28.151920,28.151920
28.094430,28.094438
28.036950,28.036956
27.979470,27.979474
27.921990,27.921992
27.864510,27.864510
27.807030,27.807028
27.749540,27.749546
27.692060,27.692064
27.634580,27.634582
27.577100,27.577100
27.480950,27.480948
27.384800,27.384796
27.288640,27.288644
27.192490,27.192492
27.096340,27.096340
27.000190,27.000188
26.904040,26.904036
26.807890,26.807884
26.711740,26.711732
26.615590,26.615580
26.597370,26.597369
26.579160,26.579158
26.560950,26.560947
26.542740,26.542736
26.524530,26.524525
26.506320,26.506314
26.488110,26.488103
26.469890,26.469892
26.451680,26.451681
26.433470,26.433470
26.369560,26.369561
26.305650,26.305652
26.241740,26.241743
26.177830,26.177834
26.113920,26.113925
26.050010,26.050016
25.986100,25.986107
25.922200,25.922198
25.858290,25.858289
25.794380,25.794380
25.835510,25.835517
25.876650,25.876654
25.917790,25.917791
25.958930,25.958928
26.000060,26.000065
26.041200,26.041202
26.082340,26.082339
26.123480,26.123476
26.164620,26.164613
26.205750,26.205750
26.287180,26.287176
26.368600,26.368602
26.450030,26.450028
26.531450,26.531454
26.612880,26.612880
26.694300,26.694306
26.775730,26.775732
26.857150,26.857158
26.938580,26.938584
27.020000,27.020010
27.029180,27.029191
27.038360,27.038372
27.047550,27.047553
27.056730,27.056734
27.065910,27.065915
27.075090,27.075096
27.084270,27.084277
27.093460,27.093458
27.102640,27.102639
27.111820,27.111820
27.073280,27.073283
27.034750,27.034746
26.996210,26.996209
26.957680,26.957672
26.919140,26.919135
26.880600,26.880598
26.842070,26.842061
26.803530,26.803524
26.765000,26.764987
26.726460,26.726450
26.675300,26.675293
26.624150,26.624136
26.572990,26.572979
26.521830,26.521822
26.470670,26.470665
26.419520,26.419508
26.368360,26.368351
26.317200,26.317194
26.266050,26.266037
26.214890,26.214880
26.113420,26.113408
26.011940,26.011936
25.910470,25.910464
25.809000,25.808992
25.707530,25.707520
25.606050,25.606048
25.504580,25.504576
25.403110,25.403104
25.301630,25.301632
25.200160,25.200160
24.960670,24.960667
24.721170,24.721174
24.481680,24.481681
24.242180,24.242188
24.002690,24.002695
23.763200,23.763202
23.523700,23.523709
23.284210,23.284216
23.044710,23.044723
22.805220,22.805230
22.463430,22.463444
22.121650,22.121658
21.779860,21.779872
21.438080,21.438086
21.096290,21.096300
20.754510,20.754514
20.412720,20.412728
20.070930,20.070942
19.729150,19.729156
19.387360,19.387370
19.117800,19.117806
18.848240,18.848242
18.578670,18.578678
18.309110,18.309114
18.039550,18.039550
17.769980,17.769986
17.500420,17.500422
17.230850,17.230858
16.961290,16.961294
16.691730,16.691730
16.910350,16.910354
17.128970,17.128978
17.347600,17.347602
17.566220,17.566226
17.784850,17.784850
18.003470,18.003474
18.222100,18.222098
18.440720,18.440722
18.659340,18.659346
18.877970,18.877970
19.156600,19.156607
19.435240,19.435244
19.713880,19.713881
19.992520,19.992518
20.271150,20.271155
20.549790,20.549792
20.828430,20.828429
21.107060,21.107066
21.385700,21.385703
21.664340,21.664340
21.854970,21.854973
22.045600,22.045606
22.236230,22.236239
22.426860,22.426872
22.617500,22.617505
22.808130,22.808138
22.998760,22.998771
23.189390,23.189404
23.380020,23.380037
23.570660,23.570670
23.973560,23.973577
24.376470,24.376484
24.779380,24.779391
25.182290,25.182298
25.585200,25.585205
25.988110,25.988112
26.391010,26.391019
26.793920,26.793926
27.196830,27.196833
27.599740,27.599740
27.689100,27.689103
27.778470,27.778466
27.867830,27.867829
27.957190,27.957192
28.046550,28.046555
28.135920,28.135918
28.225280,28.225281
28.314640,28.314644
28.404010,28.404007
28.493370,28.493370
28.586230,28.586226
28.679080,28.679082
28.771940,28.771938
28.864790,28.864794
28.957650,28.957650
29.050500,29.050506
29.143360,29.143362
29.236210,29.236218
29.329070,29.329074
29.421920,29.421930
29.409810,29.409812
29.397690,29.397694
29.385570,29.385576
29.373460,29.373458
29.361340,29.361340
29.349220,29.349222
29.337100,29.337104
29.324990,29.324986
29.312870,29.312868
29.300750,29.300750
29.291740,29.291736
29.282720,29.282722
29.273710,29.273708
29.264690,29.264694
29.255680,29.255680
29.246670,29.246666
29.237650,29.237652
29.228640,29.228638
29.219620,29.219624
29.210610,29.210610
29.256490,29.256496
29.302380,29.302382
29.348260,29.348268
29.394150,29.394154
29.440030,29.440040
29.485920,29.485926
29.531810,29.531812
29.577690,29.577698
29.623580,29.623584
29.669460,29.669470
29.716840,29.716849
29.764220,29.764228
29.811600,29.811607
29.858980,29.858986
29.906360,29.906365
29.953740,29.953744
30.001120,30.001123
30.048500,30.048502
30.095880,30.095881
30.143260,30.143260
30.197300,30.197293
30.251330,30.251326
30.305360,30.305359
30.359390,30.359392
30.413420,30.413425
30.467450,30.467458
30.521480,30.521491
30.575520,30.575524
30.629550,30.629557
30.683580,30.683590
30.730790,30.730804
30.778010,30.778018
30.825220,30.825232
30.872440,30.872446
30.919650,30.919660
30.966870,30.966874
31.014080,31.014088
31.061290,31.061302
31.108510,31.108516
31.155720,31.155730
31.273290,31.273292
31.390850,31.390854
31.508410,31.508416
31.625980,31.625978
31.743540,31.743540
31.861100,31.861102
31.978670,31.978664
32.096230,32.096226
32.213790,32.213788
32.331350,32.331350
32.311610,32.311613
32.291880,32.291876
32.272140,32.272139
32.252400,32.252402
32.232670,32.232665
32.212930,32.212928
32.193190,32.193191
32.173450,32.173454
32.153720,32.153717
32.133980,32.133980
31.970400,31.970403
31.806830,31.806826
31.643250,31.643249
31.479680,31.479672
31.316100,31.316095
31.152520,31.152518
30.988950,30.988941
30.825370,30.825364
30.661790,30.661787
30.498220,30.498210
30.359340,30.359328
30.220460,30.220446
30.081570,30.081564
29.942690,29.942682
29.803810,29.803800
29.664930,29.664918
29.526050,29.526036
29.387170,29.387154
29.248280,29.248272
29.109400,29.109390
28.941320,28.941309
28.773240,28.773228
28.605160,28.605147
28.437080,28.437066
28.269000,28.268985
28.100910,28.100904
27.932830,27.932823
27.764750,27.764742
27.596670,27.596661
27.428590,27.428580
27.159840,27.159828
26.891080,26.891076
26.622330,26.622324
26.353580,26.353572
26.084820,26.084820
25.816070,25.816068
25.547320,25.547316
25.278560,25.278564
25.009810,25.009812
24.741060,24.741060
24.299900,24.299897
23.858730,23.858734
23.417570,23.417571
22.976410,22.976408
22.535250,22.535245
22.094090,22.094082
21.652920,21.652919
21.211760,21.211756
20.770600,20.770593
20.329440,20.329430
19.989460,19.989451
19.649480,19.649472
19.309500,19.309493
18.969520,18.969514
18.629540,18.629535
18.289560,18.289556
17.949580,17.949577
17.609600,17.609598
17.269620,17.269619
16.929650,16.929640
16.555310,16.555305
16.180970,16.180970
15.806640,15.806635
15.432300,15.432300
15.057970,15.057965
14.683630,14.683630
14.309300,14.309295
13.934960,13.934960
13.560630,13.560625
13.186290,13.186290
12.718190,12.718193
12.250100,12.250096
11.782000,11.781999
11.313900,11.313902
10.845810,10.845805
10.377710,10.377708
9.909610,9.909611
9.441520,9.441514
8.973420,8.973417
8.505320,8.505320
7.906610,7.906607
7.307898,7.307895
6.709185,6.709182
6.110472,6.110469
5.511759,5.511757
4.913046,4.913044
4.314333,4.314331
3.715620,3.715618
3.116907,3.116906
2.518194,2.518193
2.266375,2.266374
2.014555,2.014554
1.762736,1.762735
1.510917,1.510916
1.259097,1.259097
1.007278,1.007277
0.755459,0.755458
0.503639,0.503639
0.251820,0.251819
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.123740,0.123740
0.247480,0.247480
0.371220,0.371220
0.494960,0.494960
0.618699,0.618700
0.742439,0.742439
0.866179,0.866179
0.989919,0.989919
1.113659,1.113659
1.237399,1.237399
1.394546,1.394546
1.551693,1.551693
1.708841,1.708841
1.865988,1.865988
2.023135,2.023135
2.180282,2.180282
2.337429,2.337429
2.494576,2.494577
2.651724,2.651724
2.808871,2.808871
3.077410,3.077411
3.345950,3.345950
3.614489,3.614490
3.883029,3.883029
4.151568,4.151569
4.420107,4.420108
4.688647,4.688648
4.957186,4.957187
5.225726,5.225727
5.494265,5.494266
5.631646,5.631647
5.769026,5.769027
5.906407,5.906408
6.043787,6.043789
6.181168,6.181170
6.318549,6.318550
6.455929,6.455931
6.593310,6.593312
6.730690,6.730692
6.868071,6.868073
6.961744,6.961746
7.055417,7.055418
7.149089,7.149091
7.242762,7.242764
7.336435,7.336437
7.430108,7.430109
7.523780,7.523782
7.617453,7.617455
7.711126,7.711127
7.804799,7.804800
7.940473,7.940474
8.076146,8.076148
8.211820,8.211822
8.347493,8.347496
8.483170,8.483170
8.618840,8.618844
8.754510,8.754518
8.890190,8.890192
9.025860,9.025866
9.161530,9.161540
9.099620,9.099622
9.037700,9.037704
8.975780,8.975786
8.913870,8.913868
8.851950,8.851950
8.790030,8.790032
8.728110,8.728114
8.666200,8.666196
8.604280,8.604278
8.542360,8.542360
8.315382,8.315381
8.088403,8.088402
7.861423,7.861422
7.634444,7.634443
7.407465,7.407464
7.180486,7.180485
6.953506,6.953506
6.726527,6.726526
6.499548,6.499547
6.272569,6.272568
6.099928,6.099928
5.927287,5.927287
5.754646,5.754647
5.582006,5.582006
5.409365,5.409366
5.236724,5.236725
5.064083,5.064085
4.891442,4.891444
4.718801,4.718804
4.546161,4.546163
4.091545,4.091547
3.636929,3.636930
3.182312,3.182314
2.727696,2.727698
2.273080,2.273082
1.818464,1.818465
1.363848,1.363849
0.909232,0.909233
0.454616,0.454616
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.380082,0.380082
0.760164,0.760164
1.140247,1.140247
1.520329,1.520329
1.900411,1.900411
2.280493,2.280493
2.660575,2.660575
3.040657,3.040658
3.420739,3.420740
3.800822,3.800822
4.173129,4.173129
4.545435,4.545436
4.917742,4.917743
5.290049,5.290050
5.662356,5.662357
6.034663,6.034664
6.406970,6.406971
6.779276,6.779278
7.151583,7.151585
7.523890,7.523892
7.919845,7.919847
8.315800,8.315802
8.711750,8.711756
9.107710,9.107711
9.503660,9.503666
9.899620,9.899621
10.295580,10.295576
10.691530,10.691530
11.087490,11.087485
11.483440,11.483440
11.776090,11.776091
12.068740,12.068742
12.361390,12.361393
12.654040,12.654044
12.946690,12.946695
13.239340,13.239346
13.531990,13.531997
13.824640,13.824648
14.117290,14.117299
14.409940,14.409950
14.791410,14.791420
15.172880,15.172890
15.554350,15.554360
15.935830,15.935830
16.317300,16.317300
16.698760,16.698770
17.080230,17.080240
17.461700,17.461710
17.843170,17.843180
18.224640,18.224650
18.904990,18.904994
19.585330,19.585338
20.265670,20.265682
20.946020,20.946026
21.626360,21.626370
22.306710,22.306714
22.987050,22.987058
23.667390,23.667402
24.347740,24.347746
25.028080,25.028090
25.370660,25.370673
25.713250,25.713256
26.055830,26.055839
26.398420,26.398422
26.741000,26.741005
27.083590,27.083588
27.426170,27.426171
27.768760,27.768754
28.111340,28.111337
28.453930,28.453920
28.656640,28.656635
28.859360,28.859350
29.062070,29.062065
29.264790,29.264780
29.467500,29.467495
29.670220,29.670210
29.872930,29.872925
30.075650,30.075640
30.278360,30.278355
30.481080,30.481070
30.617900,30.617890
30.754710,30.754710
30.891530,30.891530
31.028350,31.028350
31.165170,31.165170
31.301990,31.301990
31.438810,31.438810
31.575630,31.575630
31.712450,31.712450
31.849270,31.849270
31.910880,31.910871
31.972480,31.972472
32.034080,32.034073
32.095680,32.095674
32.157280,32.157275
32.218880,32.218876
32.280480,32.280477
32.342080,32.342078
32.403680,32.403679
32.465270,32.465280
32.527920,32.527921
32.590560,32.590562
32.653200,32.653203
32.715840,32.715844
32.778480,32.778485
32.841120,32.841126
32.903760,32.903767
32.966400,32.966408
33.029050,33.029049
33.091690,33.091690
33.145220,33.145225
33.198760,33.198760
33.252290,33.252295
33.305830,33.305830
33.359360,33.359365
33.412900,33.412900
33.466430,33.466435
33.519970,33.519970
33.573510,33.573505
33.627040,33.627040
33.656350,33.656349
33.685660,33.685658
33.714970,33.714967
33.744270,33.744276
33.773580,33.773585
33.802890,33.802894
33.832200,33.832203
33.861510,33.861512
33.890820,33.890821
33.920120,33.920130
33.952650,33.952657
33.985180,33.985184
34.017710,34.017711
34.050240,34.050238
34.082760,34.082765
34.115290,34.115292
34.147820,34.147819
34.180350,34.180346
34.212880,34.212873
34.245400,34.245400
34.178180,34.178182
34.110970,34.110964
34.043750,34.043746
33.976530,33.976528
33.909310,33.909310
33.842090,33.842092
33.774870,33.774874
33.707650,33.707656
33.640430,33.640438
33.573220,33.573220
33.427010,33.427010
33.280800,33.280800
33.134590,33.134590
32.988380,32.988380
32.842170,32.842170
32.695960,32.695960
32.549750,32.549750
32.403540,32.403540
32.257330,32.257330
32.111120,32.111120
32.118780,32.118781
32.126440,32.126442
32.134100,32.134103
32.141760,32.141764
32.149420,32.149425
32.157080,32.157086
32.164740,32.164747
32.172400,32.172408
32.180060,32.180069
32.187720,32.187730
32.167220,32.167227
32.146720,32.146724
32.126220,32.126221
32.105720,32.105718
32.085220,32.085215
32.064720,32.064712
32.044220,32.044209
32.023720,32.023706
32.003220,32.003203
31.982710,31.982700
31.979500,31.979491
31.976290,31.976282
31.973080,31.973073
31.969870,31.969864
31.966660,31.966655
31.963450,31.963446
31.960240,31.960237
31.957030,31.957028
31.953820,31.953819
31.950610,31.950610
31.989330,31.989326
32.028050,32.028042
32.066760,32.066758
32.105480,32.105474
32.144190,32.144190
32.182910,32.182906
32.221620,32.221622
32.260340,32.260338
32.299050,32.299054
32.337770,32.337770
32.358010,32.358009
32.378250,32.378248
32.398490,32.398487
32.418730,32.418726
32.438970,32.438965
32.459210,32.459204
32.479450,32.479443
32.499690,32.499682
32.519940,32.519921
32.540180,32.540160
32.466940,32.466925
32.393710,32.393690
32.320470,32.320455
32.247240,32.247220
32.174000,32.173985
32.100770,32.100750
32.027530,32.027515
31.954300,31.954280
31.881060,31.881045
31.807830,31.807810
31.776570,31.776556
31.745310,31.745302
31.714060,31.714048
31.682800,31.682794
31.651550,31.651540
31.620290,31.620286
31.589040,31.589032
31.557780,31.557778
31.526520,31.526524
31.495270,31.495270
31.448630,31.448636
31.402000,31.402002
31.355360,31.355368
31.308730,31.308734
31.262090,31.262100
31.215460,31.215466
31.168830,31.168832
31.122190,31.122198
31.075560,31.075564
31.028920,31.028930
31.010390,31.010398
30.991860,30.991866
30.973330,30.973334
30.954790,30.954802
30.936260,30.936270
30.917730,30.917738
30.899200,30.899206
30.880670,30.880674
30.862130,30.862142
30.843600,30.843610
30.797090,30.797093
30.750570,30.750576
30.704050,30.704059
30.657540,30.657542
30.611020,30.611025
30.564500,30.564508
30.517990,30.517991
30.471470,30.471474
30.424960,30.424957
30.378440,30.378440
30.365160,30.365160
30.351880,30.351880
30.338600,30.338600
30.325320,30.325320
30.312030,30.312040
30.298750,30.298760
30.285470,30.285480
30.272190,30.272200
30.258910,30.258920
30.245630,30.245640
30.134770,30.134782
30.023920,30.023924
29.913060,29.913066
29.802200,29.802208
29.691350,29.691350
29.580490,29.580492
29.469630,29.469634
29.358770,29.358776
29.247920,29.247918
29.137060,29.137060
29.040070,29.040073
28.943090,28.943086
28.846100,28.846099
28.749110,28.749112
28.652130,28.652125
28.555140,28.555138
28.458150,28.458151
28.361170,28.361164
28.264180,28.264177
28.167190,28.167190
28.080180,28.080179
27.993170,27.993168
27.906160,27.906157
27.819150,27.819146
27.732140,27.732135
27.645120,27.645124
27.558110,27.558113
27.471100,27.471102
27.384090,27.384091
27.297080,27.297080
27.281200,27.281203
27.265330,27.265326
27.249450,27.249449
27.233570,27.233572
27.217700,27.217695
27.201820,27.201818
27.185940,27.185941
27.170060,27.170064
27.154190,27.154187
27.138310,27.138310
27.116520,27.116521
27.094730,27.094732
27.072940,27.072943
27.051150,27.051154
27.029360,27.029365
27.007570,27.007576
26.985780,26.985787
26.963990,26.963998
26.942210,26.942209
26.920420,26.920420
26.758990,26.758991
26.597560,26.597562
26.436130,26.436133
26.274700,26.274704
26.113270,26.113275
25.951850,25.951846
25.790420,25.790417
25.628990,25.628988
25.467560,25.467559
25.306130,25.306130
25.355560,25.355563
25.405000,25.404996
25.454430,25.454429
25.503860,25.503862
25.553300,25.553295
25.602730,25.602728
25.652160,25.652161
25.701590,25.701594
25.751030,25.751027
25.800460,25.800460
25.521610,25.521608
25.242750,25.242756
24.963900,24.963904
24.685050,24.685052
24.406200,24.406200
24.127340,24.127348
23.848490,23.848496
23.569640,23.569644
23.290790,23.290792
23.011930,23.011940
22.701580,22.701581
22.391220,22.391222
22.080860,22.080863
21.770500,21.770504
21.460140,21.460145
21.149790,21.149786
20.839430,20.839427
20.529070,20.529068
20.218710,20.218709
19.908350,19.908350
19.795760,19.795757
19.683170,19.683164
19.570580,19.570571
19.457980,19.457978
19.345390,19.345385
19.232800,19.232792
19.120200,19.120199
19.007610,19.007606
18.895020,18.895013
18.782430,18.782420
18.351480,18.351474
17.920530,17.920528
17.489590,17.489582
17.058640,17.058636
16.627700,16.627690
16.196750,16.196744
15.765800,15.765798
15.334860,15.334852
14.903910,14.903906
14.472960,14.472960
13.619070,13.619067
12.765180,12.765174
11.911280,11.911280
11.057390,11.057387
10.203500,10.203494
9.349600,9.349601
8.495710,8.495708
7.641817,7.641814
6.787924,6.787921
5.934031,5.934028
5.451042,5.451040
4.968054,4.968051
4.485065,4.485063
4.002077,4.002075
3.519089,3.519087
3.036100,3.036098
2.553111,2.553110
2.070123,2.070122
1.587134,1.587133
1.104146,1.104145
0.993731,0.993731
0.883316,0.883316
0.772902,0.772902
0.662487,0.662487
0.552073,0.552073
0.441658,0.441658
0.331244,0.331244
0.220829,0.220829
0.110415,0.110415
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
